Shipment_ID,Shipment_Date,Carrier,Transport_Mode,Distance_Miles,Freight_Cost,Delivery_Status
JM0043,2025-01-20,Carrier D,Truck,1194,2470.85,On Time
JM0044,2025-01-21,Carrier B,Truck,319,737.24,On Time
JM0045,2025-01-21,Carrier E,Truck,548,1070.57,On Time
JM0046,2025-01-22,Carrier B,Truck,837,1525.01,On Time
JM0047,2025-01-22,Carrier A,Truck,132,362.17,On Time
JM0048,2025-01-23,Carrier E,Truck,957,1972.60,On Time
JM0049,2025-01-23,Carrier C,Truck,239,556.97,On Time
JM0050,2025-01-23,Carrier B,Truck,875,1570.12,On Time
JM0051,2025-01-24,Carrier D,Truck,1066,1858.21,On Time
JM0052,2025-01-24,Carrier A,Truck,1280,2425.69,On Time
JM0053,2025-01-25,Carrier B,Truck,690,1293.35,Late
JM0054,2025-01-25,Carrier D,Rail,1786,2062.49,On Time
JM0055,2025-01-26,Carrier B,Truck,666,1200.95,On Time
JM0056,2025-01-26,Carrier C,Rail,590,773.79,On Time
JM0057,2025-01-27,Carrier B,Truck,1271,2084.80,On Time
JM0058,2025-01-27,Carrier A,Truck,1273,2441.54,On Time
JM0059,2025-01-28,Carrier A,Rail,2064,2188.84,On Time
JM0060,2025-01-28,Carrier B,Truck,496,998.84,On Time
JM0061,2025-01-29,Carrier C,Truck,732,1496.83,On Time
JM0062,2025-01-29,Carrier D,Truck,1098,2289.62,Late
JM0063,2025-01-30,Carrier E,Rail,942,1178.26,Late
JM0064,2025-01-30,Carrier B,Rail,1158,1304.76,On Time
JM0065,2025-01-31,Carrier E,Truck,1201,2133.05,Late
JM0066,2025-02-01,Carrier D,Truck,1329,2704.81,On Time
JM0067,2025-02-01,Carrier A,Rail,699,844.58,On Time
JM0068,2025-02-01,Carrier B,Truck,297,633.48,On Time
JM0069,2025-02-02,Carrier B,Truck,1087,1911.90,On Time
JM0070,2025-02-02,Carrier D,Rail,500,727.95,On Time
JM0071,2025-02-02,Carrier A,Rail,2276,2253.21,On Time
JM0072,2025-02-03,Carrier D,Truck,1151,2300.14,Late
JM0073,2025-02-03,Carrier A,Truck,711,1279.96,On Time
JM0074,2025-02-04,Carrier A,Rail,2216,2182.04,On Time
JM0075,2025-02-04,Carrier A,Truck,1362,2399.95,On Time
JM0076,2025-02-04,Carrier E,Truck,1382,2438.60,On Time
JM0077,2025-02-05,Carrier B,Truck,847,1453.02,On Time
JM0078,2025-02-05,Carrier C,Truck,455,894.72,On Time
JM0079,2025-02-06,Carrier C,Truck,421,958.19,On Time
JM0080,2025-02-06,Carrier C,Truck,985,1786.48,On Time
JM0081,2025-02-06,Carrier A,Truck,829,1561.61,On Time
JM0082,2025-02-07,Carrier A,Truck,1168,2203.99,On Time
JM0083,2025-02-07,Carrier D,Truck,126,385.68,On Time
JM0084,2025-02-08,Carrier B,Truck,1386,2338.83,On Time
JM0085,2025-02-08,Carrier B,Truck,245,566.95,On Time
JM0086,2025-02-08,Carrier E,Truck,1331,2702.41,On Time
JM0087,2025-02-09,Carrier C,Rail,2193,2329.08,On Time
JM0088,2025-02-09,Carrier D,Truck,400,826.41,On Time
JM0089,2025-02-10,Carrier E,Truck,386,889.73,On Time
JM0090,2025-02-10,Carrier D,Truck,719,1485.95,On Time
JM0091,2025-02-10,Carrier E,Rail,737,930.91,On Time
JM0092,2025-02-11,Carrier B,Rail,2357,2240.62,On Time
JM0093,2025-02-11,Carrier E,Truck,449,984.52,On Time
JM0094,2025-02-11,Carrier A,Truck,1299,2377.15,On Time
JM0095,2025-02-12,Carrier B,Truck,317,752.14,On Time
JM0096,2025-02-12,Carrier E,Truck,1058,1918.86,On Time
JM0097,2025-02-13,Carrier A,Truck,631,1222.85,On Time
JM0098,2025-02-13,Carrier C,Truck,184,453.27,On Time
JM0099,2025-02-13,Carrier C,Truck,1187,2148.83,On Time
JM0100,2025-02-14,Carrier D,Rail,2023,2345.00,On Time
JM0101,2025-02-14,Carrier B,Truck,240,609.20,Late
JM0102,2025-02-15,Carrier E,Truck,1264,2339.96,On Time
JM0103,2025-02-15,Carrier D,Rail,1079,1215.52,On Time
JM0104,2025-02-15,Carrier A,Truck,328,728.93,On Time
JM0105,2025-02-16,Carrier A,Truck,521,1041.87,On Time
JM0106,2025-02-16,Carrier A,Truck,772,1411.91,On Time
JM0107,2025-02-17,Carrier A,Truck,955,1822.10,On Time
JM0108,2025-02-17,Carrier A,Rail,2269,2212.38,On Time
JM0109,2025-02-17,Carrier A,Truck,219,467.52,On Time
JM0110,2025-02-18,Carrier B,Truck,1029,1816.21,On Time
JM0111,2025-02-18,Carrier B,Rail,1131,1268.64,On Time
JM0112,2025-02-19,Carrier E,Truck,1047,2223.46,On Time
JM0113,2025-02-19,Carrier C,Rail,1951,2300.27,On Time
JM0114,2025-02-19,Carrier D,Truck,1148,2323.08,On Time
JM0115,2025-02-20,Carrier C,Truck,1374,2704.97,On Time
JM0116,2025-02-20,Carrier A,Truck,1319,2234.17,On Time
JM0117,2025-02-20,Carrier B,Rail,1271,1298.91,On Time
JM0118,2025-02-21,Carrier B,Truck,533,1133.04,On Time
JM0119,2025-02-21,Carrier B,Truck,262,561.39,On Time
JM0120,2025-02-22,Carrier E,Truck,407,857.71,On Time
JM0121,2025-02-22,Carrier D,Rail,2251,2657.59,On Time
JM0122,2025-02-22,Carrier A,Truck,487,938.90,On Time
JM0123,2025-02-23,Carrier C,Truck,1114,1910.99,On Time
JM0124,2025-02-23,Carrier B,Truck,887,1653.13,On Time
JM0125,2025-02-24,Carrier A,Truck,521,909.98,On Time
JM0126,2025-02-24,Carrier A,Truck,895,1479.88,On Time
JM0127,2025-02-24,Carrier E,Truck,1155,2393.24,On Time
JM0128,2025-02-25,Carrier E,Rail,1310,1640.40,On Time
JM0129,2025-02-25,Carrier E,Rail,513,699.11,On Time
JM0130,2025-02-26,Carrier D,Rail,1905,1980.51,On Time
JM0131,2025-02-26,Carrier A,Truck,959,1816.20,On Time
JM0132,2025-02-26,Carrier A,Truck,1311,2313.57,On Time
JM0133,2025-02-27,Carrier B,Truck,97,331.74,On Time
JM0134,2025-02-27,Carrier C,Truck,993,1698.66,On Time
JM0135,2025-02-28,Carrier A,Truck,412,752.21,On Time
JM0136,2025-03-01,Carrier B,Truck,1163,2220.26,On Time
JM0137,2025-03-01,Carrier B,Truck,615,1300.23,On Time
JM0138,2025-03-01,Carrier B,Rail,1545,1686.04,On Time
JM0139,2025-03-02,Carrier B,Truck,658,1384.05,Late
JM0140,2025-03-02,Carrier E,Rail,1347,1546.90,On Time
JM0141,2025-03-03,Carrier A,Truck,1388,2279.68,On Time
JM0142,2025-03-03,Carrier A,Truck,589,1059.11,On Time
JM0143,2025-03-03,Carrier B,Truck,554,992.58,On Time
JM0144,2025-03-04,Carrier C,Truck,430,822.51,On Time
JM0145,2025-03-04,Carrier C,Truck,783,1550.50,On Time
JM0146,2025-03-05,Carrier E,Rail,2028,2387.00,On Time
JM0147,2025-03-05,Carrier D,Truck,918,1634.53,On Time
JM0148,2025-03-05,Carrier D,Truck,811,1606.30,On Time
JM0149,2025-03-06,Carrier C,Truck,217,543.28,On Time
JM0150,2025-03-06,Carrier B,Truck,394,814.83,On Time
JM0151,2025-03-07,Carrier B,Rail,1115,1140.28,On Time
JM0152,2025-03-07,Carrier D,Rail,2185,2288.50,On Time
JM0153,2025-03-07,Carrier D,Truck,397,921.23,On Time
JM0154,2025-03-08,Carrier B,Rail,1515,1758.99,On Time
JM0155,2025-03-08,Carrier A,Truck,435,788.30,On Time
JM0156,2025-03-09,Carrier A,Truck,346,780.70,On Time
JM0157,2025-03-09,Carrier B,Truck,597,1186.66,On Time
JM0158,2025-03-09,Carrier C,Rail,1294,1329.89,On Time
JM0159,2025-03-10,Carrier C,Truck,502,982.61,On Time
JM0160,2025-03-10,Carrier B,Truck,417,907.85,On Time
JM0161,2025-03-11,Carrier B,Truck,185,482.53,On Time
JM0162,2025-03-11,Carrier A,Truck,1379,2271.56,On Time
JM0163,2025-03-11,Carrier A,Rail,1082,1088.99,On Time
JM0164,2025-03-12,Carrier A,Rail,1692,1746.57,On Time
JM0165,2025-03-12,Carrier A,Truck,99,284.78,Late
JM0166,2025-03-13,Carrier B,Truck,1303,2406.20,On Time
JM0167,2025-03-13,Carrier D,Truck,1326,2563.00,Late
JM0168,2025-03-13,Carrier A,Truck,563,1135.23,On Time
JM0169,2025-03-14,Carrier A,Rail,555,654.78,On Time
JM0170,2025-03-14,Carrier A,Rail,645,786.61,On Time
JM0171,2025-03-15,Carrier C,Truck,1367,2308.13,On Time
JM0172,2025-03-15,Carrier D,Truck,963,2018.24,On Time
JM0173,2025-03-16,Carrier A,Rail,481,644.85,On Time
JM0174,2025-03-16,Carrier B,Rail,2160,2113.08,Late
JM0175,2025-03-16,Carrier B,Truck,674,1243.87,On Time
JM0176,2025-03-17,Carrier C,Truck,1069,1917.02,On Time
JM0177,2025-03-17,Carrier D,Truck,1107,2118.98,On Time
JM0178,2025-03-18,Carrier B,Truck,1344,2577.14,On Time
JM0179,2025-03-18,Carrier B,Truck,169,449.46,On Time
JM0180,2025-03-18,Carrier D,Truck,1153,2342.80,Late
JM0181,2025-03-19,Carrier D,Truck,556,1189.51,On Time
JM0182,2025-03-19,Carrier D,Truck,727,1362.99,On Time
JM0183,2025-03-20,Carrier B,Rail,1587,1851.77,Late
JM0184,2025-03-20,Carrier A,Truck,648,1308.91,On Time
JM0185,2025-03-20,Carrier A,Truck,483,977.53,On Time
JM0186,2025-03-21,Carrier D,Truck,952,1893.35,On Time
JM0187,2025-03-21,Carrier D,Rail,451,663.38,On Time
JM0188,2025-03-22,Carrier C,Truck,1313,2580.47,On Time
JM0189,2025-03-22,Carrier D,Truck,202,492.96,On Time
JM0190,2025-03-22,Carrier A,Truck,549,1046.85,On Time
JM0191,2025-03-23,Carrier C,Truck,997,2010.06,On Time
JM0192,2025-03-23,Carrier B,Truck,600,1099.98,On Time
JM0193,2025-03-24,Carrier D,Rail,2227,2330.56,On Time
JM0194,2025-03-24,Carrier D,Truck,714,1363.62,On Time
JM0195,2025-03-24,Carrier A,Truck,935,1772.55,On Time
JM0196,2025-03-25,Carrier A,Truck,138,354.97,On Time
JM0197,2025-03-25,Carrier B,Truck,878,1742.91,On Time
JM0198,2025-03-26,Carrier B,Truck,1323,2217.82,On Time
JM0199,2025-03-26,Carrier A,Truck,136,372.15,On Time
JM0200,2025-03-26,Carrier C,Rail,2012,2333.90,On Time
JM0201,2025-03-27,Carrier A,Truck,1360,2336.37,On Time
JM0202,2025-03-27,Carrier D,Truck,877,1589.08,On Time
JM0203,2025-03-28,Carrier D,Truck,945,1714.02,On Time
JM0204,2025-03-28,Carrier E,Rail,886,1048.45,On Time
JM0205,2025-03-28,Carrier A,Truck,475,970.70,On Time
JM0206,2025-03-29,Carrier A,Truck,164,406.81,On Time
JM0207,2025-03-29,Carrier B,Truck,977,1961.24,On Time
JM0208,2025-03-30,Carrier A,Rail,1145,1359.78,On Time
JM0209,2025-03-30,Carrier B,Rail,2343,2444.48,On Time
JM0210,2025-03-31,Carrier A,Rail,1017,1109.39,On Time
JM0211,2025-04-01,Carrier E,Truck,1268,2609.43,Late
JM0212,2025-04-01,Carrier A,Truck,1287,2115.95,On Time
JM0213,2025-04-01,Carrier B,Truck,1093,2139.18,On Time
JM0214,2025-04-02,Carrier C,Truck,782,1408.02,On Time
JM0215,2025-04-02,Carrier D,Truck,146,431.23,On Time
JM0216,2025-04-02,Carrier E,Truck,1251,2398.06,On Time
JM0217,2025-04-03,Carrier A,Truck,1162,2026.85,On Time
JM0218,2025-04-03,Carrier D,Truck,1210,2379.02,On Time
JM0219,2025-04-03,Carrier D,Truck,999,1753.20,On Time
JM0220,2025-04-04,Carrier E,Rail,1229,1483.69,On Time
JM0221,2025-04-04,Carrier A,Rail,978,1020.60,On Time
JM0222,2025-04-05,Carrier A,Truck,693,1374.60,On Time
JM0223,2025-04-05,Carrier A,Truck,259,569.33,On Time
JM0224,2025-04-05,Carrier C,Rail,1366,1515.39,On Time
JM0225,2025-04-06,Carrier A,Rail,2369,2511.73,On Time
JM0226,2025-04-06,Carrier C,Rail,1337,1616.23,On Time
JM0227,2025-04-06,Carrier C,Truck,1187,2403.99,On Time
JM0228,2025-04-07,Carrier A,Truck,996,1784.65,On Time
JM0229,2025-04-07,Carrier B,Truck,1125,2255.12,On Time
JM0230,2025-04-07,Carrier B,Rail,956,1157.42,On Time
JM0231,2025-04-08,Carrier A,Truck,247,575.78,On Time
JM0232,2025-04-08,Carrier A,Truck,1322,2336.88,On Time
JM0233,2025-04-09,Carrier B,Rail,900,965.17,On Time
JM0234,2025-04-09,Carrier B,Truck,545,1037.29,On Time
JM0235,2025-04-09,Carrier D,Truck,1371,2830.37,On Time
JM0236,2025-04-10,Carrier C,Truck,1086,2026.48,On Time
JM0237,2025-04-10,Carrier D,Truck,617,1134.83,On Time
JM0238,2025-04-10,Carrier E,Rail,691,851.54,Late
JM0239,2025-04-11,Carrier E,Truck,647,1247.79,On Time
JM0240,2025-04-11,Carrier D,Truck,1251,2289.19,Late
JM0241,2025-04-12,Carrier C,Truck,407,932.12,On Time
JM0242,2025-04-12,Carrier B,Truck,972,1896.51,On Time
JM0243,2025-04-12,Carrier D,Rail,1731,1921.24,On Time
JM0244,2025-04-13,Carrier A,Rail,1293,1359.42,On Time
JM0245,2025-04-13,Carrier C,Truck,119,351.85,On Time
JM0246,2025-04-13,Carrier B,Truck,870,1622.67,Late
JM0247,2025-04-14,Carrier A,Truck,332,633.21,On Time
JM0248,2025-04-14,Carrier B,Truck,643,1353.58,On Time
JM0249,2025-04-14,Carrier A,Truck,660,1354.42,On Time
JM0250,2025-04-15,Carrier E,Truck,259,603.37,On Time
JM0251,2025-04-15,Carrier A,Rail,1455,1476.04,On Time
JM0252,2025-04-16,Carrier B,Truck,517,987.84,On Time
JM0253,2025-04-16,Carrier B,Truck,1025,1773.31,On Time
JM0254,2025-04-16,Carrier D,Rail,1266,1310.29,Late
JM0255,2025-04-17,Carrier A,Rail,1019,1058.71,On Time
JM0256,2025-04-17,Carrier D,Truck,666,1280.74,On Time
JM0257,2025-04-17,Carrier D,Rail,1699,1795.99,On Time
JM0258,2025-04-18,Carrier B,Truck,512,1090.13,On Time
JM0259,2025-04-18,Carrier D,Truck,1212,2138.41,On Time
JM0260,2025-04-18,Carrier A,Truck,1198,1932.34,On Time
JM0261,2025-04-19,Carrier B,Rail,1337,1357.33,Late
JM0262,2025-04-19,Carrier E,Truck,342,783.08,On Time
JM0263,2025-04-20,Carrier B,Truck,221,543.13,On Time
JM0264,2025-04-20,Carrier B,Truck,902,1537.69,On Time
JM0265,2025-04-20,Carrier C,Truck,328,719.84,On Time
JM0266,2025-04-21,Carrier A,Rail,1081,1094.53,On Time
JM0267,2025-04-21,Carrier B,Truck,347,720.37,On Time
JM0268,2025-04-21,Carrier A,Truck,808,1368.66,On Time
JM0269,2025-04-22,Carrier C,Rail,1652,1974.85,On Time
JM0270,2025-04-22,Carrier A,Rail,939,1125.05,On Time
JM0271,2025-04-23,Carrier B,Truck,254,595.42,On Time
JM0272,2025-04-23,Carrier A,Truck,409,835.22,On Time
JM0273,2025-04-23,Carrier E,Rail,1568,1651.45,On Time
JM0274,2025-04-24,Carrier A,Truck,105,308.43,On Time
JM0275,2025-04-24,Carrier E,Rail,625,741.90,On Time
JM0276,2025-04-24,Carrier A,Rail,1452,1654.87,On Time
JM0277,2025-04-25,Carrier B,Rail,1274,1397.52,On Time
JM0278,2025-04-25,Carrier A,Truck,1221,2108.94,On Time
JM0279,2025-04-25,Carrier B,Rail,851,963.75,On Time
JM0280,2025-04-26,Carrier D,Truck,1016,2143.67,Late
JM0281,2025-04-26,Carrier B,Truck,167,469.40,On Time
JM0282,2025-04-27,Carrier E,Rail,2119,2543.34,On Time
JM0283,2025-04-27,Carrier A,Rail,2247,2482.06,On Time
JM0284,2025-04-27,Carrier C,Rail,820,1044.49,On Time
JM0285,2025-04-28,Carrier B,Rail,1851,1995.33,Late
JM0286,2025-04-28,Carrier A,Rail,2142,2399.71,Late
JM0287,2025-04-28,Carrier A,Truck,544,1066.55,On Time
JM0288,2025-04-29,Carrier D,Rail,1525,1829.06,On Time
JM0289,2025-04-29,Carrier D,Truck,827,1672.40,On Time
JM0290,2025-04-30,Carrier A,Rail,684,791.44,On Time
JM0291,2025-05-01,Carrier C,Truck,362,767.82,On Time
JM0292,2025-05-01,Carrier E,Truck,218,586.20,On Time
JM0293,2025-05-01,Carrier C,Truck,1357,2266.27,On Time
JM0294,2025-05-02,Carrier A,Truck,1302,2140.03,On Time
JM0295,2025-05-02,Carrier C,Rail,1578,1892.21,On Time
JM0296,2025-05-02,Carrier E,Truck,886,1874.91,On Time
JM0297,2025-05-03,Carrier A,Rail,2186,2286.10,On Time
JM0298,2025-05-03,Carrier D,Truck,248,547.34,On Time
JM0299,2025-05-03,Carrier B,Rail,1339,1392.10,On Time
JM0300,2025-05-04,Carrier A,Truck,155,405.60,Late
JM0301,2025-05-04,Carrier A,Truck,449,844.63,Late
JM0302,2025-05-04,Carrier E,Truck,835,1681.69,On Time
JM0303,2025-05-05,Carrier D,Truck,1310,2241.48,On Time
JM0304,2025-05-05,Carrier A,Truck,433,859.91,On Time
JM0305,2025-05-06,Carrier C,Truck,1202,2043.78,On Time
JM0306,2025-05-06,Carrier E,Truck,802,1613.42,On Time
JM0307,2025-05-06,Carrier D,Rail,2082,2094.75,On Time
JM0308,2025-05-07,Carrier A,Truck,122,374.42,On Time
JM0309,2025-05-07,Carrier A,Truck,1220,2343.46,On Time
JM0310,2025-05-07,Carrier B,Truck,925,1653.01,On Time
JM0311,2025-05-08,Carrier D,Truck,1133,2241.44,On Time
JM0312,2025-05-08,Carrier A,Truck,619,1255.82,On Time
JM0313,2025-05-08,Carrier C,Truck,149,432.44,On Time
JM0314,2025-05-09,Carrier B,Truck,485,913.12,On Time
JM0315,2025-05-09,Carrier D,Rail,2221,2479.99,On Time
JM0316,2025-05-09,Carrier A,Truck,1049,1923.39,Late
JM0317,2025-05-10,Carrier A,Truck,989,1820.28,On Time
JM0318,2025-05-10,Carrier A,Truck,558,975.91,On Time
JM0319,2025-05-11,Carrier A,Truck,824,1572.30,On Time
JM0320,2025-05-11,Carrier B,Truck,464,1005.72,On Time
JM0321,2025-05-11,Carrier B,Truck,923,1784.79,On Time
JM0322,2025-05-12,Carrier E,Truck,379,787.23,On Time
JM0323,2025-05-12,Carrier B,Truck,634,1130.80,On Time
JM0324,2025-05-12,Carrier B,Truck,943,1677.49,On Time
JM0325,2025-05-13,Carrier C,Truck,400,897.67,On Time
JM0326,2025-05-13,Carrier E,Rail,1586,1711.88,Late
JM0327,2025-05-13,Carrier A,Rail,2389,2407.96,On Time
JM0328,2025-05-14,Carrier A,Truck,701,1391.05,On Time
JM0329,2025-05-14,Carrier A,Truck,1209,2335.88,On Time
JM0330,2025-05-14,Carrier B,Truck,775,1501.13,On Time
JM0331,2025-05-15,Carrier A,Rail,1669,1687.79,On Time
JM0332,2025-05-15,Carrier A,Truck,858,1670.25,On Time
JM0333,2025-05-16,Carrier B,Rail,2397,2720.81,On Time
JM0334,2025-05-16,Carrier A,Truck,1196,2105.24,On Time
JM0335,2025-05-16,Carrier A,Rail,2351,2159.98,On Time
JM0336,2025-05-17,Carrier D,Truck,635,1216.10,On Time
JM0337,2025-05-17,Carrier B,Truck,522,1059.83,On Time
JM0338,2025-05-17,Carrier B,Truck,1374,2660.40,On Time
JM0339,2025-05-18,Carrier D,Truck,1243,2173.49,On Time
JM0340,2025-05-18,Carrier A,Truck,390,750.53,On Time
JM0341,2025-05-18,Carrier B,Truck,1170,2016.61,On Time
JM0342,2025-05-19,Carrier C,Truck,131,359.94,On Time
JM0343,2025-05-19,Carrier A,Rail,2119,2067.62,On Time
JM0344,2025-05-19,Carrier A,Rail,2302,2113.06,On Time
JM0345,2025-05-20,Carrier A,Rail,1313,1477.98,On Time
JM0346,2025-05-20,Carrier C,Rail,900,978.04,On Time
JM0347,2025-05-21,Carrier C,Truck,422,934.59,On Time
JM0348,2025-05-21,Carrier D,Rail,839,1017.90,Late
JM0349,2025-05-21,Carrier C,Truck,544,1048.83,On Time
JM0350,2025-05-22,Carrier B,Truck,82,286.43,On Time
JM0351,2025-05-22,Carrier A,Truck,245,578.85,On Time
JM0352,2025-05-22,Carrier A,Truck,1040,1817.22,On Time
JM0353,2025-05-23,Carrier B,Truck,905,1626.38,On Time
JM0354,2025-05-23,Carrier B,Truck,1247,2302.04,On Time
JM0355,2025-05-23,Carrier C,Truck,487,1074.05,Late
JM0356,2025-05-24,Carrier D,Truck,384,898.91,On Time
JM0357,2025-05-24,Carrier A,Rail,571,661.40,Late
JM0358,2025-05-24,Carrier E,Truck,326,744.20,On Time
JM0359,2025-05-25,Carrier A,Rail,1990,2108.23,On Time
JM0360,2025-05-25,Carrier D,Truck,594,1189.86,On Time
JM0361,2025-05-26,Carrier E,Rail,1849,2132.32,On Time
JM0362,2025-05-26,Carrier A,Truck,1227,2332.14,On Time
JM0363,2025-05-26,Carrier A,Rail,461,633.05,On Time
JM0364,2025-05-27,Carrier A,Truck,996,1661.20,On Time
JM0365,2025-05-27,Carrier C,Truck,1302,2343.10,On Time
JM0366,2025-05-27,Carrier E,Truck,706,1454.12,On Time
JM0367,2025-05-28,Carrier B,Truck,208,536.91,On Time
JM0368,2025-05-28,Carrier C,Truck,569,1030.38,On Time
JM0369,2025-05-28,Carrier C,Truck,1195,2410.21,On Time
JM0370,2025-05-29,Carrier C,Truck,213,479.20,On Time
JM0371,2025-05-29,Carrier C,Truck,360,709.90,On Time
JM0372,2025-05-29,Carrier A,Rail,2011,2009.54,On Time
JM0373,2025-05-30,Carrier C,Rail,2386,2736.33,On Time
JM0374,2025-05-30,Carrier D,Truck,782,1504.61,On Time
JM0375,2025-05-31,Carrier E,Truck,481,1062.65,Late
JM0376,2025-06-01,Carrier B,Truck,1345,2561.48,On Time
JM0377,2025-06-01,Carrier A,Truck,91,318.27,On Time
JM0378,2025-06-01,Carrier C,Rail,1767,1839.27,On Time
JM0379,2025-06-02,Carrier A,Rail,775,927.56,On Time
JM0380,2025-06-02,Carrier B,Truck,995,1832.44,On Time
JM0381,2025-06-02,Carrier D,Rail,1954,2173.98,On Time
JM0382,2025-06-03,Carrier A,Truck,759,1497.12,On Time
JM0383,2025-06-03,Carrier A,Truck,1077,1909.16,On Time
JM0384,2025-06-03,Carrier D,Truck,618,1311.47,On Time
JM0385,2025-06-04,Carrier B,Rail,1381,1436.96,On Time
JM0386,2025-06-04,Carrier B,Truck,851,1739.75,On Time
JM0387,2025-06-04,Carrier A,Truck,488,1016.05,On Time
JM0388,2025-06-05,Carrier D,Truck,1049,1916.40,On Time
JM0389,2025-06-05,Carrier C,Truck,256,608.69,On Time
JM0390,2025-06-05,Carrier A,Truck,851,1518.91,On Time
JM0391,2025-06-06,Carrier B,Rail,1507,1582.31,On Time
JM0392,2025-06-06,Carrier E,Truck,1182,2140.60,On Time
JM0393,2025-06-06,Carrier B,Rail,996,1114.53,On Time
JM0394,2025-06-07,Carrier C,Rail,2187,2530.30,On Time
JM0395,2025-06-07,Carrier A,Rail,2225,2054.37,On Time
JM0396,2025-06-07,Carrier A,Truck,1167,1973.76,On Time
JM0397,2025-06-08,Carrier A,Rail,688,756.12,On Time
JM0398,2025-06-08,Carrier A,Truck,156,401.29,On Time
JM0399,2025-06-08,Carrier D,Truck,206,543.78,On Time
JM0400,2025-06-09,Carrier A,Rail,1443,1589.61,On Time
JM0401,2025-06-09,Carrier B,Truck,835,1655.81,On Time
JM0402,2025-06-09,Carrier E,Truck,872,1665.59,On Time
JM0403,2025-06-10,Carrier C,Rail,1976,1972.57,On Time
JM0404,2025-06-10,Carrier D,Rail,2334,2520.44,On Time
JM0405,2025-06-11,Carrier B,Rail,898,1007.35,On Time
JM0406,2025-06-11,Carrier A,Truck,205,510.52,On Time
JM0407,2025-06-11,Carrier E,Truck,974,2041.60,Late
JM0408,2025-06-12,Carrier A,Truck,829,1466.03,On Time
JM0409,2025-06-12,Carrier E,Truck,1255,2684.55,On Time
JM0410,2025-06-12,Carrier D,Rail,1679,1706.44,On Time
JM0411,2025-06-13,Carrier A,Truck,675,1240.00,On Time
JM0412,2025-06-13,Carrier B,Truck,123,377.16,On Time
JM0413,2025-06-13,Carrier A,Truck,801,1403.00,On Time
JM0414,2025-06-14,Carrier A,Rail,813,849.72,On Time
JM0415,2025-06-14,Carrier E,Rail,2369,2530.26,On Time
JM0416,2025-06-14,Carrier C,Truck,305,681.66,On Time
JM0417,2025-06-15,Carrier B,Rail,1413,1636.46,Late
JM0418,2025-06-15,Carrier E,Truck,1258,2278.15,On Time
JM0419,2025-06-15,Carrier E,Rail,1332,1493.94,On Time
JM0420,2025-06-16,Carrier E,Rail,1333,1540.31,On Time
